critical libmamba Cannot activate, prefix does not exist at: '/sfs/ceph/standard/phys56xx/miniforge3/envs/phys56xx'
make: Nothing to be done for 'default'.
Read 1207 cities from data file
Initial distance (km): 732177.736605
step 0  T=4999.998  best=732177.737
step 200000  T=4524.185  best=732177.737
step 400000  T=4093.652  best=732177.737
step 600000  T=3704.089  best=732177.737
step 800000  T=3351.598  best=732177.737
step 1000000  T=3032.651  best=732177.737
step 1200000  T=2744.056  best=732177.737
step 1400000  T=2482.925  best=732177.737
step 1600000  T=2246.643  best=732177.737
step 1800000  T=2032.847  best=732177.737
step 2000000  T=1839.396  best=732177.737
step 2200000  T=1664.354  best=732177.737
step 2400000  T=1505.970  best=732177.737
step 2600000  T=1362.658  best=732177.737
step 2800000  T=1232.984  best=732177.737
step 3000000  T=1115.650  best=732177.737
step 3200000  T=1009.482  best=732177.737
step 3400000  T=913.417  best=732177.737
step 3600000  T=826.494  best=732177.737
step 3800000  T=747.842  best=732177.737
step 4000000  T=676.676  best=732177.737
step 4200000  T=612.282  best=732177.737
step 4400000  T=554.015  best=732177.737
step 4600000  T=501.294  best=732177.737
step 4800000  T=453.589  best=732177.737
step 5000000  T=410.425  best=727629.655
step 5200000  T=371.367  best=681076.717
step 5400000  T=336.027  best=628781.481
step 5600000  T=304.050  best=586178.933
step 5800000  T=275.116  best=536014.716
step 6000000  T=248.935  best=493595.318
step 6200000  T=225.246  best=460792.531
step 6400000  T=203.811  best=423060.687
step 6600000  T=184.416  best=390871.520
step 6800000  T=166.866  best=361574.535
step 7000000  T=150.987  best=345232.933
step 7200000  T=136.618  best=315705.057
step 7400000  T=123.617  best=295333.110
step 7600000  T=111.854  best=274571.369
step 7800000  T=101.209  best=253208.416
step 8000000  T=91.578  best=232321.570
step 8200000  T=82.863  best=218203.651
step 8400000  T=74.978  best=202412.958
step 8600000  T=67.843  best=193776.949
step 8800000  T=61.387  best=186928.351
step 9000000  T=55.545  best=174047.578
step 9200000  T=50.259  best=165800.858
step 9400000  T=45.476  best=156828.084
step 9600000  T=41.149  best=152088.679
step 9800000  T=37.233  best=147388.926
step 10000000  T=33.690  best=141915.184
step 10200000  T=30.484  best=136408.594
step 10400000  T=27.583  best=130759.392
step 10600000  T=24.958  best=127201.602
step 10800000  T=22.583  best=123188.535
step 11000000  T=20.434  best=120465.068
step 11200000  T=18.489  best=118714.967
step 11400000  T=16.730  best=116540.249
step 11600000  T=15.138  best=114688.213
step 11800000  T=13.697  best=113163.170
Best distance (km):    111461.552
Runtime (s):           1100.932
Wrote route:           route1k.dat
Wrote schedule:        an1k.csv
done
